age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
521345.1,3.3482,4.6559,1.25,0.0,1.25,1.25,0.0,37.87,0.0
558835.1,3.2609,4.4226,1.25,0.0,1.25,1.25,0.0,35.9485,0.0
599238.3,3.1762,4.2009,1.25,0.0,1.25,1.25,0.0,34.1292,0.0
642919.3,3.0936,3.9889,1.25,0.0,1.25,1.25,0.0,32.4015,0.0
690138.5,3.0132,3.7875,1.25,0.0,1.25,1.25,0.0,30.7614,0.0
741081.6,2.9351,3.5949,1.25,0.0,1.25,1.25,0.0,29.2076,0.0
796030.2,2.8592,3.4116,1.25,0.0,1.25,1.25,0.0,27.736,0.0
855393.9,2.7854,3.2358,1.25,0.0,1.25,1.25,0.0,26.34,0.0
919600.7,2.7135,3.0697,1.25,0.0,1.25,1.25,0.0,25.0144,0.0
988977.6,2.6436,2.9111,1.25,0.0,1.25,1.25,0.0,23.7571,0.0
1063650.3,2.5758,2.7647,1.25,0.0,1.25,1.25,0.0,22.5678,0.0
1144519.2,2.5098,2.6153,1.25,0.2506,1.25,1.2424,0.0042,21.4383,0.001
1232168.6,2.4455,2.4789,1.25,0.2815,1.25,1.2385,0.0076,20.3636,0.0025
1327114.1,2.383,2.3479,1.25,0.36,1.25,1.2244,0.0205,19.3348,0.0124
1429822.6,2.3224,2.2238,1.25,0.4377,1.25,1.2016,0.0423,18.3416,0.0396
1541120.0,2.2635,2.1068,1.25,0.4802,1.25,1.1821,0.0612,17.3939,0.0701
1661568.4,2.2065,1.9955,1.25,0.526,1.25,1.1558,0.0888,16.4695,0.1249
1792687.4,2.1509,1.8909,1.25,0.5564,1.25,1.1316,0.1127,15.5875,0.1776
1935085.5,2.0971,1.7915,1.25,0.6021,1.25,1.0927,0.1494,14.7041,0.2726
2089944.8,2.0449,1.6979,1.25,0.6236,1.25,1.0646,0.1773,13.8798,0.3465
2257948.7,1.9945,1.6104,1.25,0.6461,1.25,1.032,0.2098,13.075,0.4388
2440931.6,1.9456,1.5282,1.25,0.6645,1.25,0.999,0.2427,12.2999,0.5346
2640527.1,1.8983,1.4513,1.25,0.6793,1.25,0.9659,0.2758,11.5547,0.6314
2857968.6,1.8527,1.3805,1.25,0.6988,1.25,0.9246,0.3171,10.8054,0.7625
3094295.8,1.8088,1.3147,1.25,0.711,1.25,0.8878,0.3541,10.1051,0.8745
3353056.0,1.7663,1.2541,1.25,0.717,1.25,0.8554,0.3865,9.4525,0.963
3634642.9,1.7256,1.1992,1.25,0.7335,1.25,0.8078,0.4344,8.758,1.1197
3942648.9,1.6865,1.1496,1.25,0.7407,1.25,0.769,0.4733,8.1315,1.2303
4278539.6,1.6491,1.1056,1.25,0.7538,1.25,0.7202,0.5224,7.4816,1.3865
4646434.8,1.6133,1.0674,1.25,0.7587,1.25,0.6803,0.5662,6.883,1.5098
5048300.5,1.5793,1.035,1.25,0.7663,1.25,0.635,0.6082,6.3187,1.6172
