age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
527698.1,2.0573,0.9808,0.45,0.0,0.45,0.45,0.0,5.0761,0.0
565102.7,2.0046,0.9226,0.45,0.0,0.45,0.45,0.0,4.8263,0.0
605701.0,1.9535,0.8682,0.45,0.0,0.45,0.45,0.0,4.5897,0.0
650147.9,1.9036,0.817,0.45,0.0,0.45,0.45,0.0,4.3637,0.0
698400.1,1.8551,0.7691,0.45,0.0,0.45,0.45,0.0,4.1496,0.0
751007.0,1.8078,0.7243,0.45,0.0,0.45,0.45,0.0,3.9458,0.0
808199.7,1.7618,0.6824,0.45,0.0,0.45,0.45,0.0,3.7523,0.0
869986.0,1.7173,0.6433,0.45,0.0,0.45,0.45,0.0,3.5696,0.0
937258.0,1.6739,0.6067,0.45,0.0,0.45,0.45,0.0,3.3955,0.0
1010705.3,1.6315,0.5723,0.45,0.0,0.45,0.45,0.0,3.2292,0.0
1090434.5,1.5902,0.54,0.45,0.0,0.45,0.45,0.0,3.0712,0.0
1176923.2,1.55,0.5098,0.45,0.0,0.45,0.45,0.0,2.9212,0.0
1270689.6,1.5109,0.4815,0.45,0.0,0.45,0.45,0.0,2.7787,0.0
1372262.9,1.4729,0.455,0.45,0.0,0.45,0.45,0.0,2.6434,0.0
1482158.2,1.4359,0.4301,0.45,0.0,0.45,0.45,0.0,2.5151,0.0
1600753.8,1.4001,0.4068,0.45,0.0,0.45,0.45,0.0,2.3935,0.0
1729696.9,1.365,0.3848,0.45,0.0,0.45,0.45,0.0,2.2774,0.0
1869558.3,1.3309,0.364,0.45,0.0,0.45,0.45,0.0,2.1669,0.0
2020468.6,1.2977,0.3445,0.45,0.0,0.45,0.45,0.0,2.0621,0.0
2184020.6,1.2653,0.3263,0.45,0.0,0.45,0.45,0.0,1.9623,0.0
2359803.7,1.2339,0.3094,0.45,0.0,0.45,0.45,0.0,1.8679,0.0
2550526.2,1.2033,0.2935,0.45,0.0,0.45,0.45,0.0,1.7777,0.0
2756070.8,1.1734,0.2784,0.45,0.0,0.45,0.45,0.0,1.6921,0.0
2976654.1,1.1445,0.2642,0.45,0.0,0.45,0.45,0.0,1.6111,0.0
3216361.6,1.1162,0.2507,0.45,0.0,0.45,0.45,0.0,1.5335,0.0
3475151.8,1.0885,0.238,0.45,0.0,0.45,0.45,0.0,1.4597,0.0
3754192.3,1.0617,0.2259,0.45,0.0,0.45,0.45,0.0,1.3896,0.0
4054680.6,1.0355,0.2144,0.45,0.0,0.45,0.45,0.0,1.323,0.0
4378588.9,1.01,0.2036,0.45,0.0,0.45,0.45,0.0,1.2596,0.0
4727338.2,0.9853,0.1933,0.45,0.0,0.45,0.45,0.0,1.1995,0.0
5101676.2,0.9612,0.1837,0.45,0.0,0.45,0.45,0.0,1.1424,0.0
5507392.8,0.9377,0.1745,0.45,0.0,0.45,0.45,0.0,1.0879,0.0
5944908.1,0.9147,0.1657,0.45,0.0,0.45,0.45,0.0,1.036,0.0
6414259.8,0.8925,0.1575,0.45,0.0,0.45,0.45,0.0,0.9868,0.0
6921775.9,0.8707,0.1496,0.45,0.0,0.45,0.45,0.0,0.9398,0.0
7464600.9,0.8496,0.1422,0.45,0.0561,0.45,0.4492,0.0004,0.8954,0.0
8052504.2,0.829,0.1352,0.45,0.0834,0.45,0.4473,0.0018,0.8529,0.0001
8685811.6,0.8088,0.1285,0.45,0.1118,0.45,0.4431,0.0041,0.8123,0.0002
9368519.6,0.7892,0.1222,0.45,0.1262,0.45,0.4394,0.0069,0.7736,0.0004
10103660.2,0.7702,0.1162,0.45,0.1463,0.45,0.4326,0.0142,0.7359,0.0014
10896617.9,0.7516,0.1105,0.45,0.1608,0.45,0.4256,0.0214,0.6997,0.0027
11751480.5,0.7335,0.1051,0.45,0.1726,0.45,0.4181,0.0294,0.6648,0.0044
12671243.0,0.716,0.1001,0.45,0.1824,0.45,0.4101,0.0372,0.6313,0.0062
13658529.9,0.699,0.0953,0.45,0.1906,0.45,0.4019,0.0453,0.5992,0.0083
14730104.1,0.6824,0.0907,0.45,0.2012,0.45,0.3906,0.0566,0.5672,0.0115
15886682.0,0.6663,0.0864,0.45,0.2066,0.45,0.3819,0.0652,0.5373,0.014
17134531.0,0.6506,0.0824,0.45,0.2126,0.45,0.3716,0.0755,0.508,0.0171
18482594.6,0.6353,0.0786,0.45,0.2205,0.45,0.3582,0.0888,0.4785,0.0216
19938267.1,0.6206,0.075,0.45,0.2231,0.45,0.3493,0.0977,0.4521,0.0242
21509840.8,0.6063,0.0716,0.45,0.2276,0.45,0.3374,0.1096,0.4254,0.0281
23208376.8,0.5924,0.0684,0.45,0.2312,0.45,0.3256,0.1214,0.3999,0.0319
25041446.3,0.579,0.0654,0.45,0.2341,0.45,0.3139,0.1332,0.3755,0.0357
27032124.4,0.566,0.0626,0.45,0.2363,0.45,0.3023,0.1448,0.3521,0.0392
29187652.9,0.5534,0.06,0.45,0.2399,0.45,0.2882,0.159,0.3284,0.044
31531479.7,0.5413,0.0575,0.45,0.2428,0.45,0.2743,0.173,0.3057,0.0485
34078300.6,0.5296,0.0552,0.45,0.2449,0.45,0.2608,0.1865,0.2842,0.0527
36849728.4,0.5183,0.0531,0.45,0.2465,0.45,0.2477,0.1997,0.2638,0.0566
39873068.0,0.5074,0.0511,0.45,0.2467,0.45,0.2363,0.2125,0.2445,0.06
43181735.0,0.4971,0.0493,0.45,0.2496,0.45,0.2204,0.2272,0.225,0.0643
46816393.2,0.4871,0.0476,0.45,0.2511,0.45,0.2064,0.2414,0.2067,0.0681
50839944.0,0.4777,0.0461,0.45,0.2527,0.45,0.1919,0.2559,0.1889,0.072
55317187.7,0.4687,0.0447,0.45,0.2531,0.45,0.1793,0.2687,0.1729,0.0747
60351326.0,0.4601,0.0435,0.45,0.2556,0.45,0.1634,0.2847,0.1558,0.0791
66075240.7,0.4521,0.0424,0.45,0.257,0.45,0.1495,0.2978,0.1412,0.0817
72700433.3,0.4445,0.0415,0.45,0.2585,0.45,0.1358,0.3109,0.1272,0.0842
80549153.5,0.4373,0.0407,0.45,0.2586,0.45,0.1246,0.3238,0.1139,0.0866
90170906.5,0.4302,0.0399,0.45,0.2601,0.45,0.1121,0.3357,0.1018,0.0887
102622401.9,0.4228,0.039,0.45,0.2608,0.45,0.102,0.3454,0.0917,0.0901
120696237.7,0.4145,0.0375,0.45,0.2611,0.45,0.0944,0.3531,0.0835,0.0918
145198559.2,0.4075,0.0358,0.45,0.2576,0.45,0.0969,0.3506,0.0832,0.0903
153562770.0,0.4062,0.0354,0.45,0.2559,0.45,0.0994,0.348,0.0845,0.0891
